Unique Name	Descriptor	Wide Peak Limits	Peak Limits	Region Limits	q values	Residual q values after removing segments shared with higher peaks	Broad or Focal	Amplitude Threshold	TCGA-FG-8187-01	TCGA-P5-A72X-01	TCGA-CS-4938-01	TCGA-S9-A6U8-01	TCGA-E1-A7Z6-01	TCGA-HT-7680-01	TCGA-S9-A7R3-01	TCGA-HT-8108-01	TCGA-HT-7473-01	TCGA-TQ-A7RP-01	TCGA-E1-A7Z4-01	TCGA-DB-A4X9-01	TCGA-HT-7611-01	TCGA-DU-8161-01	TCGA-RY-A845-01	TCGA-E1-A7YD-01	TCGA-DB-A64O-01	TCGA-TM-A84T-01	TCGA-HT-7479-01	TCGA-E1-A7YM-01	TCGA-FG-6691-01	TCGA-TQ-A7RJ-01	TCGA-HW-7493-01	TCGA-DU-5853-01	TCGA-DB-A64X-01	TCGA-DB-5280-01	TCGA-S9-A6U9-01	TCGA-HT-7485-01	TCGA-DU-A76K-01	TCGA-P5-A5EV-01	TCGA-DU-8165-01	TCGA-QH-A870-01	TCGA-P5-A5EW-01	TCGA-HT-A74J-01	TCGA-HT-7854-01	TCGA-FG-A70Y-01	TCGA-FG-A60J-01	TCGA-DU-A7TI-01	TCGA-VM-A8C8-01	TCGA-DB-A4XC-01	TCGA-P5-A5F2-01	TCGA-S9-A6WG-01	TCGA-HT-7608-01	TCGA-QH-A6CS-01	TCGA-HT-A5R5-01	TCGA-DH-5143-01	TCGA-TQ-A7RV-01	TCGA-FG-A711-01	TCGA-CS-5395-01	TCGA-E1-A7Z2-01	TCGA-WH-A86K-01	TCGA-06-5859-01	TCGA-06-1804-01	
Amplification Peak 11	7q36.2  	chr7:123426178-159345973(probes 740800:759871)    	chr7:154407058-154612479(probes 757278:757444)    	chr7:154407058-154872799(probes 757278:757669)    	0.17938	  0.17938		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	1	0	0	1	1	1	0	1	0	1	1	2	1	0	0	1	1	1	0	0	1	0	0	0	1	2	1	1	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	1	0	1	2	
Amplification Peak 12	8q23.2  	chr8:109501516-109527685(probes 821232:821251)    	chr8:109501810-109527568(probes 821233:821250)    	chr8:105160276-109595497(probes 819008:821287)    	0.15524	  0.15524		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	1	1	0	1	0	0	0	0	1	2	0	0	0	0	0	0	
Amplification Peak 13	8q24.13 	chr8:117740233-135019596(probes 825730:838098)    	chr8:122831724-123854245(probes 829232:829893)    	chr8:114987123-137290229(probes 823999:839580)    	0.15524	  0.15524		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	2	0	0	0	0	0	0	0	0	1	0	2	0	1	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	
Amplification Peak 14	11q24.2 	chr11:124378594-124401846(probes 1065781:1065802)	chr11:124378725-124399691(probes 1065782:1065801)	chr11:124378725-124402484(probes 1065782:1065804)	0.15524	  0.15524		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	1	1	0	0	0	0	0	0	
Amplification Peak 15	12p13.32	chr12:2063126-5342964(probes 1072927:1075356)        	chr12:5249752-5314011(probes 1075281:1075336)        	chr12:1-7122728(probes 1072536:1076462)               	0.15524	  0.15524		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	
Amplification Peak 16	12p12.1 	chr12:21496606-21557219(probes 1084648:1084697)    	chr12:21496663-21556684(probes 1084649:1084696)    	chr12:21496663-21563921(probes 1084649:1084699)    	0.20247	  0.20247		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	
Amplification Peak 17	12q13.3 	chr12:57402326-57797224(probes 1102496:1102683)    	chr12:57406899-57796938(probes 1102497:1102682)    	chr12:57363192-57981162(probes 1102478:1102776)    	0.0098444	  0.10304		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	
Amplification Peak 18	12q14.1 	chr12:57889603-57908474(probes 1102729:1102739)    	chr12:57890773-57907363(probes 1102730:1102738)    	chr12:57363192-57981162(probes 1102478:1102776)    	0.0098444	  0.10304		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	
Amplification Peak 19	12q24.31	chr12:122844948-122913906(probes 1142955:1142985)	chr12:122852834-122912593(probes 1142956:1142984)	chr12:122852834-122918189(probes 1142956:1142987)	0.17837	  0.17837		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	
Deletion Peak  1	1p36.23 	chr1:7769227-9237612(probes 2932:3721)                	chr1:8007369-8435458(probes 3083:3293)                	chr1:5145329-12588853(probes 1323:5320)              	0.00015314	 0.00015314		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	
Deletion Peak  2	1p32.3  	chr1:46169478-64746364(probes 23268:35213)          	chr1:50956568-50976325(probes 25810:25814)          	chr1:50915189-50999980(probes 25792:25824)          	0.20455	    0.20455		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	
Deletion Peak  3	1q42.12 	chr1:204503152-240615466(probes 102761:127202)    	chr1:223533593-228748657(probes 115684:118417)    	chr1:222300342-226095464(probes 114992:117073)    	0.12506	    0.12506		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
Deletion Peak  4	1q44    	chr1:227939527-248956422(probes 118215:131062)    	chr1:244840545-248956422(probes 129806:131062)    	chr1:244850506-248956422(probes 129808:131062)    	0.16533	    0.20455		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Deletion Peak  5	2q36.3  	chr2:1-242193529(probes 131063:264535)               	chr2:229710779-230033261(probes 257693:257694)    	chr2:229234053-230181721(probes 257331:257789)    	0.039307	    0.23308		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Deletion Peak  6	2q37.1  	chr2:231711722-242193529(probes 258544:264535)    	chr2:233249711-233349893(probes 259289:259362)    	chr2:230271576-242193529(probes 257858:264535)    	0.0031666	   0.080421		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	
Deletion Peak  7	2q37.3  	chr2:230225064-242193529(probes 257831:264535)    	chr2:237482044-237557756(probes 262250:262299)    	chr2:230271576-242193529(probes 257858:264535)    	0.006109	   0.080421		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Deletion Peak  8	3q29    	chr3:195428693-196631607(probes 372165:372455)    	chr3:196043168-196590400(probes 372184:372425)    	chr3:192382651-198295559(probes 370426:372613)    	0.0059556	  0.0059556		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	
Deletion Peak  9	4q34.3  	chr4:177990720-182139540(probes 472467:474636)    	chr4:180603979-181161702(probes 473837:473841)    	chr4:180175235-181441828(probes 473450:474068)    	0.017706	   0.061252		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	
Deletion Peak 10	4q35.2  	chr4:186719102-187536724(probes 476468:476926)    	chr4:187299756-187507585(probes 476792:476914)    	chr4:185962056-190214555(probes 476001:477115)    	0.0086663	   0.017485		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	
Deletion Peak 11	5q15    	chr5:45378355-139685564(probes 503477:553224)      	chr5:93407076-102300512(probes 527274:531201)      	chr5:92214400-102257104(probes 526674:531169)      	0.22404	    0.20455		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
Deletion Peak 12	6p25.3  	chr6:1608602-2250648(probes 579586:580013)            	chr6:1621170-2176789(probes 579589:579967)            	chr6:1874764-1877723(probes 579779:579780)            	0.063098	   0.061252		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	
Deletion Peak 13	6q26    	chr6:144090971-170805979(probes 661172:677210)    	chr6:160700359-160715452(probes 672275:672282)    	chr6:144496216-170805979(probes 661409:677210)    	0.006109	   0.006109		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1	0	1	1	
Deletion Peak 14	7p22.3  	chr7:1-159345973(probes 677211:759871)               	chr7:1-1945403(probes 677211:677517)                   	chr7:665648-672458(probes 677212:677213)                	0.22565	    0.23308		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
Deletion Peak 15	8q24.3  	chr8:6967891-145138636(probes 763172:842793)        	chr8:143679241-145138636(probes 842693:842793)    	chr8:143312942-145138636(probes 842591:842793)    	0.006109	   0.006109		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Deletion Peak 16	9p24.2  	chr9:1-9822052(probes 842794:848438)                   	chr9:3824005-4154147(probes 844857:845236)            	chr9:3986124-3990091(probes 845047:845048)            	0.12648	    0.12506		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	1	1	0	1	1	1	
Deletion Peak 17	9p21.3  	chr9:21865499-22448738(probes 856551:856921)        	chr9:21959053-21977194(probes 856602:856603)        	chr9:20625230-24087242(probes 855657:858024)        	1.6268e-05	 1.6268e-05		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	1	1	1	0	1	0	1	0	1	0	0	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	
Deletion Peak 18	10p11.23	chr10:18043064-31189649(probes 924987:934136)      	chr10:29452672-29744693(probes 932746:932979)      	chr10:29559256-29561469(probes 932823:932824)      	0.1499	     0.1494		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	
Deletion Peak 19	10q23.31	chr10:87746731-88274281(probes 964996:965496)      	chr10:87817455-87866711(probes 965038:965066)      	chr10:87742067-87881543(probes 964992:965097)      	0.006109	   0.006109		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	1	1	
Deletion Peak 20	10q26.3 	chr10:133366292-133381385(probes 994150:994155)  	chr10:133370502-133376853(probes 994151:994152)  	chr10:111233395-133797422(probes 979396:994170)  	5.3445e-06	 5.3445e-06		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	1	1	1	1	1	0	0	1	0	1	1	0	0	1	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	1	1	1	1	
Deletion Peak 21	11p15.5 	chr11:1307683-1472378(probes 994419:994465)          	chr11:1381972-1472378(probes 994452:994465)          	chr11:1-12262380(probes 994171:1001278)              	0.0019055	  0.0019055		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	1	0	1	0	0	
Deletion Peak 22	13q14.2 	chr13:48301193-48490671(probes 1166571:1166801)    	chr13:48301617-48486701(probes 1166572:1166799)    	chr13:48372296-48375781(probes 1166686:1166687)    	0.011251	   0.060338		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	
Deletion Peak 23	13q14.3 	chr13:51065665-51342030(probes 1167604:1167787)    	chr13:51220277-51255201(probes 1167705:1167727)    	chr13:49325233-54309230(probes 1167306:1169338)    	0.0072293	   0.039307		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	
Deletion Peak 24	13q34   	chr13:110511187-110617924(probes 1203542:1203628)	chr13:110522898-110563787(probes 1203554:1203596)	chr13:110540161-110541922(probes 1203576:1203577)	0.065228	   0.061252		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	
Deletion Peak 25	14q31.1 	chr14:53151211-107043718(probes 1223026:1255632)  	chr14:81440726-81625736(probes 1240910:1241017)    	chr14:81408530-82057573(probes 1240887:1241292)    	0.14996	     0.1494		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	1	1	
Deletion Peak 26	17q11.2 	chr17:30999718-31853938(probes 1354203:1354624)    	chr17:31288984-31577692(probes 1354323:1354449)    	chr17:29604995-31728738(probes 1353693:1354552)    	0.006109	   0.006109		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Deletion Peak 27	19q13.32	chr19:43846567-58335779(probes 1441963:1448204)    	chr19:45729615-46217066(probes 1442893:1443119)    	chr19:45614772-49346943(probes 1442866:1444454)    	0.014547	   0.061252		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	
Deletion Peak 28	19q13.43	chr19:9361061-58617616(probes 1426825:1448221)      	chr19:55639134-58349319(probes 1446731:1448210)    	chr19:51677575-58617616(probes 1445445:1448221)    	0.0071779	   0.066781		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	
Deletion Peak 29	21q21.1 	chr21:1-20744784(probes 1486180:1490514)           	chr21:18211244-18268240(probes 1488848:1488851)    	chr21:18111411-18364582(probes 1488748:1488922)    	0.1494	     0.1494		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
Amplification Peak  1 - CN values	1q32.1  	chr1:202748447-202824871(probes 101609:101651)    	chr1:202749848-202824714(probes 101610:101650)    	chr1:202749848-202827618(probes 101610:101653)    	0.15524	  0.15524		Actual Copy Change Given	0.064225	0.0046694	0.0032597	0	0.004719	-0.00024899	-0.00089481	0.0054139	-0.00097017	0.0033299	-0.048613	0.0036076	-0.0024559	0.010424	-0.0013144	0.54013	0.0036076	-0.16017	0.0028848	0.0049969	-0.0070529	0.0034687	0.00458	-0.0081624	0.00055459	0	-0.0032304	0.024689	0.029039	0.011958	0.6328	0.0016642	0	0.0012856	-0.00013342	0.005076	0	0	0.0072217	0.0045196	0.0021286	0.00457	0.056085	0.00597	0.0033299	0.0048579	0.0022193	0.0036076	3.6569	0.0025022	0.33307	0.0026558	-0.0029449	
Amplification Peak  2 - CN values	1q32.1  	chr1:203696734-203976496(probes 102243:102370)    	chr1:203697113-203976372(probes 102244:102369)    	chr1:203671638-204663034(probes 102211:102911)    	0.0071413	  0.15524		Actual Copy Change Given	0.064225	0.0046694	0.0032597	0	0.004719	-0.00024899	-0.00089481	0.0054139	-0.00097017	0.0033299	-0.048613	0.0036076	-0.0024559	0.010424	-0.0013144	3.6569	0.0036076	-0.16017	0.0028848	0.0049969	-0.0070529	0.0034687	0.00458	-0.0081624	0.00055459	0	-0.0032304	0.024689	0.029039	0.011958	0.6328	0.0016642	0	0.0012856	-0.00013342	0.005076	0	0	0.0072217	0.0045196	0.0021286	0.00457	0.056085	0.00597	0.0033299	0.0048579	0.0022193	0.0036076	3.6569	0.0025022	0.33307	0.0026558	-0.0029449	
