Unique Name	Descriptor	Wide Peak Limits	Peak Limits	Region Limits	q values	Residual q values after removing segments shared with higher peaks	Broad or Focal	Amplitude Threshold	TCGA-DB-5279-01	TCGA-DB-A4XG-01	TCGA-S9-A6U2-01	TCGA-VM-A8CA-01	TCGA-DU-8168-01	TCGA-EZ-7264-01	TCGA-S9-A6TZ-01	TCGA-W9-A837-01	TCGA-E1-A7YO-01	TCGA-P5-A5F0-01	TCGA-FG-8182-01	TCGA-CS-5393-01	TCGA-DU-8162-01	TCGA-TQ-A7RO-01	TCGA-HT-8010-01	TCGA-CS-5396-01	TCGA-CS-6669-01	TCGA-TM-A7C4-01	TCGA-DU-7300-01	TCGA-HT-8113-01	TCGA-DU-A76R-01	TCGA-CS-5390-01	TCGA-DU-6410-01	TCGA-DU-A7TG-01	TCGA-DB-A4XH-01	TCGA-HT-7688-01	TCGA-CS-6668-01	TCGA-P5-A5F6-01	TCGA-DU-7309-01	TCGA-E1-5307-01	TCGA-E1-A7Z3-01	TCGA-HW-7491-01	TCGA-R8-A6MK-01	TCGA-DB-A64W-01	TCGA-TQ-A7RQ-01	TCGA-DH-A7UU-01	TCGA-FG-8181-01	TCGA-VM-A8CB-01	TCGA-TM-A84O-01	TCGA-HW-8322-01	TCGA-DU-7009-01	TCGA-HT-A5R7-01	TCGA-TM-A7C5-01	TCGA-DU-A7TC-01	TCGA-S9-A7QZ-01	TCGA-HT-7603-01	TCGA-DB-A4XE-01	TCGA-S9-A89V-01	TCGA-HT-8019-01	TCGA-HT-7881-01	TCGA-P5-A77X-01	TCGA-HW-8319-01	TCGA-HT-7474-01	TCGA-FG-7641-01	TCGA-DU-7018-01	TCGA-P5-A5F4-01	TCGA-S9-A6WI-01	TCGA-RY-A847-01	TCGA-HT-8015-01	TCGA-DU-6393-01	TCGA-HT-7605-01	TCGA-P5-A72Z-01	TCGA-HT-7856-01	TCGA-WY-A85A-01	TCGA-HT-8012-01	TCGA-RY-A843-01	TCGA-FG-5962-01	TCGA-DB-A64L-01	TCGA-FG-A713-01	TCGA-DU-6397-01	TCGA-TM-A84G-01	TCGA-HW-A5KJ-01	TCGA-HT-7695-01	TCGA-DU-5849-01	TCGA-TM-A84H-01	TCGA-DU-6394-01	TCGA-TM-A84R-01	TCGA-HT-7476-01	TCGA-HT-8109-01	TCGA-S9-A6WH-01	TCGA-HT-7470-01	TCGA-HT-7475-01	TCGA-S9-A6TY-01	TCGA-HT-A619-01	TCGA-P5-A77W-01	TCGA-P5-A733-01	TCGA-F6-A8O3-01	TCGA-DU-8164-01	TCGA-DU-A6S6-01	TCGA-E1-A7YS-01	TCGA-DU-5874-01	TCGA-HW-7487-01	TCGA-HT-A616-01	TCGA-HT-7687-01	TCGA-HT-7681-01	TCGA-HT-7877-01	TCGA-F6-A8O4-01	TCGA-HT-7880-01	TCGA-WY-A859-01	TCGA-VW-A7QS-01	TCGA-FG-8189-01	TCGA-DU-A6S8-01	TCGA-HT-7610-01	TCGA-IK-8125-01	TCGA-DU-7302-01	TCGA-HT-7480-01	TCGA-DB-A4XB-01	TCGA-QH-A6CZ-01	TCGA-HT-7607-01	TCGA-HT-A5RB-01	TCGA-E1-5311-01	TCGA-HT-A5R9-01	TCGA-HT-8105-01	TCGA-HT-7874-01	TCGA-HT-8107-01	TCGA-DB-5270-01	TCGA-P5-A5EZ-01	TCGA-P5-A781-01	TCGA-HW-7495-01	TCGA-DB-A64R-01	TCGA-QH-A6CY-01	TCGA-DH-A7UR-01	TCGA-HT-8558-01	TCGA-DU-A7T6-01	TCGA-HT-7694-01	TCGA-FG-A4MT-01	TCGA-HW-7489-01	TCGA-FG-7643-01	TCGA-S9-A7IQ-01	TCGA-TM-A7CF-01	TCGA-E1-A7YY-01	TCGA-E1-5318-01	TCGA-DU-A6S3-01	TCGA-HT-7875-01	TCGA-S9-A6WL-01	TCGA-06-0221-01	
Amplification Peak 11	12q24.32	chr12:127511715-128242569(probes 1145821:1145967)	chr12:127512472-128240943(probes 1145822:1145966)	chr12:127512472-128244697(probes 1145822:1145969)	0.12501	   0.13135		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	
Amplification Peak 12	12q24.33	chr12:131112318-131237975(probes 1147010:1147087)	chr12:131112324-131237629(probes 1147011:1147086)	chr12:131112324-131238769(probes 1147011:1147089)	0.12501	   0.13287		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	
Amplification Peak 13	19p13.3 	chr19:678412-827048(probes 1423724:1423743)            	chr19:684195-826419(probes 1423725:1423742)            	chr19:464682-1033226(probes 1423700:1423777)          	0.016234	  0.016234		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	1	1	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	1	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	2	0	2	0	1	0	1	
Deletion Peak  1	1p36.23 	chr1:1-248956422(probes 1:131045)                   	chr1:8208119-8218751(probes 3179:3185)                	chr1:1-24552299(probes 1:12040)                      	0.011056	   0.23777		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	1	1	1	1	1	0	1	1	1	0	0	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	0	0	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	0	0	1	1	1	0	1	1	1	0	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	0	0	0	1	0	1	1	1	1	1	0	
Deletion Peak  2	1p36.12 	chr1:1-30789989(probes 1:15001)                      	chr1:22639599-22663251(probes 10969:10983)          	chr1:1-24552299(probes 1:12040)                      	0.01211	   0.14666		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	1	1	1	1	1	0	1	1	1	0	0	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	0	0	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	0	0	1	1	1	0	1	1	1	0	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	0	0	0	1	0	1	1	1	1	1	0	
Deletion Peak  3	1p34.2  	chr1:29181136-51240029(probes 13897:25913)          	chr1:30006150-50976325(probes 14484:25810)          	chr1:29191584-31970081(probes 13900:15601)          	0.0055137	   0.01211		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	1	1	1	1	1	0	1	1	1	0	0	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	0	0	1	1	0	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	0	0	1	1	1	0	1	1	1	0	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	0	1	1	0	0	0	1	0	1	1	1	1	1	0	
Deletion Peak  4	2q22.1  	chr2:138898047-142880269(probes 204532:207013)    	chr2:140223496-142136706(probes 205275:206572)    	chr2:141289596-141292565(probes 205924:205925)    	0.081897	  0.081897		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
Deletion Peak  5	2q37.3  	chr2:230544906-242193529(probes 257975:264513)    	chr2:241493276-242193529(probes 264485:264513)    	chr2:232110971-242193529(probes 258709:264513)    	0.047257	  0.047257		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	
Deletion Peak  6	3p13    	chr3:41197616-81095908(probes 288290:311751)        	chr3:73379623-73475922(probes 307546:307639)        	chr3:73248595-73439472(probes 307444:307603)        	0.14751	   0.14751		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	
Deletion Peak  7	3q29    	chr3:191328927-198295559(probes 369782:372591)    	chr3:193950521-198295559(probes 371309:372591)    	chr3:191506082-198295559(probes 369902:372591)    	0.037191	  0.034068		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	
Deletion Peak  8	4p15.2  	chr4:24980191-25122132(probes 387792:387937)        	chr4:24998385-25032331(probes 387813:387857)        	chr4:25006592-25020376(probes 387829:387842)        	0.19559	   0.19333		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	
Deletion Peak  9	4q13.3  	chr4:39042378-119041431(probes 396622:439641)      	chr4:69586838-69656036(probes 411094:411137)        	chr4:69616499-69619821(probes 411112:411113)        	0.22728	   0.23601		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	
Deletion Peak 10	4q31.3  	chr4:144738098-164201579(probes 453598:464820)    	chr4:151668660-151764018(probes 457249:457313)    	chr4:132517338-190214555(probes 446792:477075)    	0.001084	  0.001084		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	1	0	0	1	1	1	0	0	0	0	1	0	1	0	0	1	0	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	
Deletion Peak 11	5p15.2  	chr5:1-181538259(probes 477076:579018)               	chr5:10560999-10661815(probes 484231:484304)        	chr5:10606014-10608424(probes 484268:484269)        	0.25547	   0.23777		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	
